LAMMPS data file generated by cemd on 30/07/2026 15:15:48
 2520 atoms
 3 atom types
         0.000000      34.860000 xlo xhi
         0.000000      24.355075 ylo yhi
         0.000000      60.887327 zlo zhi

 Atom Type Labels

1 C
2 Ca
3 O

 Masses

C 12.01078
Ca 40.0784
O 15.99943

 Atoms # full

1     1  Ca  2.0  2.490000e+00  19.783263   1.522183
2     1  Ca  2.0  4.944882e-16  16.728409   4.566550
3     1  Ca  2.0  2.490000e+00  13.673555   7.610916
4     1  Ca  2.0  3.432107e-15  10.618701  10.655282
5     1  Ca  2.0  2.490000e+00  21.791913   7.610916
6     1  Ca  2.0  4.608135e-15  18.737059  10.655282
7     1  Ca  2.0  2.490000e+00   3.546547   1.522183
8     1  Ca  2.0  3.913977e-15   0.491693   4.566550
9     1  Ca  2.0  5.602347e-15   2.500343  10.655282
10    1  Ca  2.0  2.490000e+00  11.664905   1.522183
11    1  Ca  2.0  9.915943e-16   8.610051   4.566550
12    1  Ca  2.0  2.490000e+00   5.555197   7.610916
13    1  Ca  2.0  2.490000e+00   1.496018   7.610916
14    1  Ca  2.0  2.148018e-15  22.796238  10.655282
15    1  Ca  2.0  2.490000e+00   7.605726   1.522183
16    1  Ca  2.0  1.470903e-15   4.550872   4.566550
17    1  Ca  2.0  2.490000e+00  15.724084   1.522183
18    1  Ca  2.0  1.848823e-15  12.669230   4.566550
19    1  Ca  2.0  2.490000e+00   9.614376   7.610916
20    1  Ca  2.0  3.142230e-15   6.559522  10.655282
21    1  Ca  2.0  2.457499e-15  20.787588   4.566550
22    1  Ca  2.0  2.490000e+00  17.732734   7.610916
23    1  Ca  2.0  3.750906e-15  14.677880  10.655282
24    1  Ca  2.0  2.490000e+00  23.842442   1.522183
25    1  Ca  2.0  2.490000e+00   7.563847  13.699649
26    1  Ca  2.0  6.398648e-15   4.508993  16.744015
27    1  Ca  2.0  2.490000e+00   1.454139  19.788381
28    1  Ca  2.0  7.354514e-15  22.754359  22.832748
29    1  Ca  2.0  2.490000e+00   9.572497  19.788381
30    1  Ca  2.0  9.406513e-15   6.517643  22.832748
31    1  Ca  2.0  2.490000e+00  15.682205  13.699649
32    1  Ca  2.0  7.007324e-15  12.627351  16.744015
33    1  Ca  2.0  1.112097e-14  14.636001  22.832748
34    1  Ca  2.0  2.490000e+00  23.800563  13.699649
35    1  Ca  2.0  5.404436e-15  20.745709  16.744015
36    1  Ca  2.0  2.490000e+00  17.690855  19.788381
37    1  Ca  2.0  2.490000e+00  13.631676  19.788381
38    1  Ca  2.0  8.052178e-15  10.576822  22.832748
39    1  Ca  2.0  2.490000e+00  19.741384  13.699649
40    1  Ca  2.0  5.393310e-15  16.686530  16.744015
41    1  Ca  2.0  2.490000e+00   3.504668  13.699649
42    1  Ca  2.0  1.017826e-14   0.449814  16.744015
43    1  Ca  2.0  2.490000e+00  21.750034  19.788381
44    1  Ca  2.0  8.660854e-15  18.695180  22.832748
45    1  Ca  2.0  9.467441e-15   8.568172  16.744015
46    1  Ca  2.0  2.490000e+00   5.513318  19.788381
